bank_id,category_id,offer_title,merchant_details,offer_details_1,offer_details_2,offer_validity,discount,image_url,more_details_url,merchant_contact
10,1,EXPLORER CARDMEMBER at Explorer Cardmember dines for free,Explorer Cardmember dines for free,"Explorer Cardmember dines for free at The London Grill - The Cinnamon Grand exclusively with your Nations Trust Bank American Express Explorer Credit Card

50% savings for 2 pax
33% savings for 3 pax
25% savings for 4 pax
20% savings for 5 pax and above

Valid for dinner

Valid every Monday, Tuesday & Wednesday till 29th January 2025

For reservations, call 0112497379

Special T&C

Valid on food orders
The total bill value cannot be split during this promotion
Only one bill per table is entitled for this promotion
Only one card member from the table is entitled to settle the bill for this promotion
Offer is valid for a minimum of 2 pax and a maximum of 10 pax per card, per day",,Valid from Monday - Wednesday till 29th January 2025,EXPLORER CARDMEMBER,https://www.americanexpress.lk/images/specialOffers/London_grill_logo.png,https://www.americanexpress.lk/en/offers/dining-offers/explorer-cardmember-dines-for-free,0112497379
10,1,20% SAVINGS at Taj Samudra Colombo - Golden Dragon,Taj Samudra Colombo - Golden Dragon,"Enjoy 20% savings with your Nations Trust Bank American Express Credit Card

Valid on food for lunch and dinner

Valid till 28th February 2025

For reservations, call 0112446622",,Valid till 28th February 2025,20% SAVINGS,https://www.americanexpress.lk/images/Chinese1-1.jpg,https://www.americanexpress.lk/en/offers/dining-offers/taj-colombo-golden-dragon-2,0112446622
10,1,15% SAVINGS at Amagi Aria,Amagi Aria,"Enjoy special savings with your Nations Trust Bank American Express Explorer Credit Card

15% savings on food & beverages at Amagi Aria - Catamaran

Valid from Monday to Thursday till 31st January 2025

Valid on bills above LKR 5000

For reservations, please call 0312 238 385

15% early bird savings on Christmas Eve Dinner ticket price and New Year’s Eve Dinner Dance ticket price

Valid till 15th December 2024

For reservations, call 0707007722 | 0716007711 | 0716007755",,Valid till 31st January 2025,15% SAVINGS,https://www.americanexpress.lk/images/offers/dining/Amagi_Aria_Logo.jpg,https://www.americanexpress.lk/en/offers/dining-offers/amagi-aria,031223838515
10,1,20% SAVINGS at Junk Yard by the Barn,Junk Yard by the Barn,"Enjoy 20% savings with your Nations Trust Bank American Express Credit Card

Valid on chicken/ seafood/ mixed platters

Valid for dine-in only

Valid till 31st January 2025

For reservations, call 0707944945 or whatsapp 0760187187",,Valid till 31st January 2025,20% SAVINGS,https://www.americanexpress.lk/images/junkyard.jpg,https://www.americanexpress.lk/en/offers/dining-offers/junk-yard,0707944945
10,1,15% SAVINGS at Maniumpathy,Maniumpathy,"Enjoy 15% savings with your Nations Trust Bank American Express Credit Card

15% savings valid for A la carte dining guest on food

Valid from 1st December to 31st March 2025

Valid on bills above LKR 5,000",Valid for bills above LKR 5000,Valid till 31st March 2025,15% SAVINGS,https://www.americanexpress.lk/images/Maniumpathy.jpg,https://www.americanexpress.lk/en/offers/dining-offers/maniumpathy,
10,1,20% SAVINGS at Cinnamon Grand Colombo - Cheers,Cinnamon Grand Colombo - Cheers,"Enjoy 20% savings with your Nations Trust Bank American Express Credit Card in celebration of Australia Day

Special menu by Chef Jay Taylor

Cheers Schedule
Start date - 24.01.2025
End date - 26.01.2025 (Australia Day)
A la carte menus will be available

For reservations, call 112 437 437 / 76 560 4972",,Valid from 24th to 26th January 2025,20% SAVINGS,https://www.americanexpress.lk/images/specialOffers/wellness/pub5.jpg,https://www.americanexpress.lk/en/offers/dining-offers/cinnamon-lakeside-cheers-2,112437437
10,1,20% SAVINGS at Taj Samudra Colombo - Navratna,Taj Samudra Colombo - Navratna,"Enjoy 20% savings with your Nations Trust Bank American Express Credit Card

Valid on food for lunch and dinner

Valid till 28th February 2025

For reservations, call 0112446622",,Valid till 28th February 2025,20% SAVINGS,https://www.americanexpress.lk/images/specialOffers/indian1.jpg,https://www.americanexpress.lk/en/offers/dining-offers/taj-samudra-colombo-navratna,0112446622
10,1,15% SAVINGS at Indian Summer,Indian Summer,"Enjoy 15% savings with your Nations Trust Bank American Express Credit Card

Valid on total bill

Maximum Savings: LKR 7,500

Valid from 13th January to 15th February 2025

For reservations, call  0112 662 112",,Valid from 13th to 15th February 2025,15% SAVINGS,https://www.americanexpress.lk/images/offers/dining/indian3.jpg,https://www.americanexpress.lk/en/offers/dining-offers/indian-summer,0112662112
10,1,15% SAVINGS at The Mango Tree,The Mango Tree,"Enjoy 15% savings with your Nations Trust Bank American Express Credit Card

Valid on total bill

Maximum savings: LKR 5,000

Valid from 13th to 16th January 2025

For reservations, call 0117620620/0759666999",,Valid from 13th to 16th January 2025,15% SAVINGS,https://www.americanexpress.lk/images/specialOffers/indian4.jpg,https://www.americanexpress.lk/en/offers/dining-offers/the-mango-tree,0117620620
10,1,20% SAVINGS at Taj Samudra Colombo - YUMI,Taj Samudra Colombo - YUMI,"Enjoy 20% savings with your Nations Trust Bank American Express Credit Card

Valid on food for lunch and dinner

Valid till 28th February 2025

For reservations, call 0112446622",,Valid till 28th February 2025,20% SAVINGS,https://www.americanexpress.lk/images/specialOffers/Taj_Samudara_Colombo_-_Yumi.jpg,https://www.americanexpress.lk/en/offers/dining-offers/taj-samudra-colombo-yumi-11,0112446622
10,1,10% SAVINGS at Ginza Hohsen,Ginza Hohsen,"Enjoy 10% savings on lunch with Nations Trust Bank American Express Credit Card

Valid till 20th January 2025

For reservations, call 0112 441 588","The promotion is valid for all American Express credit cards issued by Nations Trust Bank PLC. 
The savings will not be applicable on Beverages, 
Not valid for functions, banquets or catering related events. 
Reservations to be made in advance by calling the specified numbers. The saving is not applicable for pre confirmed bookings made prior to the respective launch dates. 
Cardholder is to settle the total bill via American Express card issued by Nations Trust Bank PLC to be eligible for the offers mentioned herein. 
The offers cannot be exchanged for cash and/or used in conjunction with any other promotional programs or offers (as discount cards, promotional vouchers and in-house offer discount cards, etc) provided by service establishments involved in this promotion. 
Nations Trust Bank PLC accepts no liability for the quality of goods and services provided by the service establishments involved in this promotion since the Bank is not the supplier of such goods and services. 
If any dispute arises regarding any of the terms and conditions contained herein, the decision of the respective service establishment(s) and Nations Trust Bank PLC shall be final. 
The Nations Trust Bank PLC reserves the right to modify or change all or any of the rules, terms and conditions applicable to this promotion and/or features of this promotion at any given time and also reserves the right to extend or shorten the duration of the promotion and/or withdraw or cancel the promotion at anytime without prior notice. 
The promotion is bound by the terms and conditions of the respective service establishment(s) and Nations Trust Bank PLC. 
The general credit card terms and conditions will continue to apply.
",Valid till 20th January 2025,10% SAVINGS,https://www.americanexpress.lk/images/specialOffers/wellness/ginza-hosen.jpg,https://www.americanexpress.lk/en/offers/dining-offers/ginza-hosen,0112441588
10,1,20% SAVINGS at Cinnamon Lakeside - Dining Room,Cinnamon Lakeside - Dining Room,"Enjoy 20% savings with your Nations Trust Bank American Express Credit Card

Valid for Lunch and Dinner

Maximum savings of LKR 8,000

Valid from 1st January to 31st January 2025

For reservations, call 0112491930

.",,Valid from 1st to 31st January 2025,20% SAVINGS,https://www.americanexpress.lk/images/specialOffers/wellness/New_Project_6.png,https://www.americanexpress.lk/en/offers/dining-offers/cinnamon-lakeside-dining-room-2,0112491930
10,1,20% SAVINGS at Cinnamon Grand Colombo - London Grill,Cinnamon Grand Colombo - London Grill,"Enjoy 20% savings with your Nations Trust Bank American Express Credit Card

Valid on food for dinner
 
Maximum savings: LKR 8,000
 
Valid from Thursday to Sunday, from 1st January to 31st January 2025
 
For reservations, call 0112497379

Enjoy 20% savings with your Nations Trust Bank American Express Credit Card in celebration of Australia Day
 
Special menu by Chef Jay Taylor
 
London Grill Schedule
Aussie Meats & Wine promotion
Start date - 30.01.2025
End date - 02.02.2025
A la carte menus will be available
For reservations, call 112 437 437 / 76 560 4972",,Valid from Thursday to Sunday from 1st January to 31st January 2025,20% SAVINGS,https://www.americanexpress.lk/images/london-grill.jpg,https://www.americanexpress.lk/en/offers/dining-offers/cinnamon-grand-colombo-london-grill,0112497379
10,1,20% SAVINGS at Courtyard by Marriott - Colombo,Courtyard by Marriott - Colombo,"Enjoy 20% savings with your Nations Trust Bank American Express Credit Card

Valid on the lunch buffet

Valid for a minimum of 2 pax and a maximum of 5 pax

Prior reservation is required

Valid from 1st January to 31st January 2025

For reservations, call 0117734451","This offer cannot be combined with any other promotions.
Card members must be present while dining.",Valid from 1st January to 31st January 2025,20% SAVINGS,https://www.americanexpress.lk/images/specialOffers/courtyard_marriot.jpg,https://www.americanexpress.lk/en/offers/dining-offers/courtyard-by-marriott,0117734451
