bank_id,category_id,offer_title,merchant_details,offer_details_1,offer_validity,discount,image_url,more_details_url,merchant_contact
5,1,30% OFF at The London Grill - Cinnamon Grand Colombo,The London Grill - Cinnamon Grand Colombo,"30% off for BOC Credit Cards & 15% off for Debit Cards
Every Friday ( 06th - 27th December 2024 )
@ The London Grill Restaurant
Max. Bill Value : Rs.20,000/-
*Conditions apply.",27 Dec 2024,30% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6998/media-241105100818.jpg,https://www.boc.lk/personal-banking/card-offers/dining/the-london-grill-cinnamon-grand-colombo/product,
5,1,30% OFF at Breeze Bar - Cinnamon Grand Colombo,Breeze Bar - Cinnamon Grand Colombo,"30% off for BOC Credit Cards & 15% off for Debit Cards
Every Friday ( 06th - 27th December 2024 )
@ Breeze Bar Restaurant
Max. Bill Value : Rs.20,000/-
*Conditions apply.",27 Dec 2024,30% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6996/media-241105100612.jpg,https://www.boc.lk/personal-banking/card-offers/dining/breeze-bar-cinnamon-grand-colombo/product,
5,1,30% OFF at Tea Lounge - Cinnamon Grand Colombo,Tea Lounge - Cinnamon Grand Colombo,"30% off for BOC Credit Cards & 15% off for Debit Cards
Every Friday ( 06th - 27th December 2024 )
@ Tea Lounge Restaurant
Max. Bill Value : Rs.20,000/-
*Conditions apply.",27 Dec 2024,30% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6994/media-241105100310.jpg,https://www.boc.lk/personal-banking/card-offers/dining/tea-lounge-cinnamon-grand-colombo/product,
5,1,10% OFF at The Epitome,The Epitome,"10% off on High Tea, Lunch & Dinner Buffets, Day Outings & Cakes for BOC Credit & Debit Cardholders
From 01st October to 31st December 2024
*Conditions apply.",31 Dec 2024,10% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6867/media-240927031104.jpg,https://www.boc.lk/personal-banking/card-offers/dining/the-epitome/product,Reservations : 037 222 1221 | 074 200 0689
5,1,30% OFF at Nuga Gama - Cinnamon Grand Colombo,Nuga Gama - Cinnamon Grand Colombo,"30% off for BOC Credit Cards & 15% off for Debit Cards
Every Friday ( 06th - 27th December 2024 )
@ Nuga Gama Restaurant
Max. Bill Value : Rs.20,000/-
*Conditions apply.",27 Dec 2024,30% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6842/media-240924115623.jpg,https://www.boc.lk/personal-banking/card-offers/dining/nuga-gama-cinnamon-grand-colombo/product,
5,1,30% OFF at Cheers Pub - Cinnamon Grand Colombo,Cheers Pub - Cinnamon Grand Colombo,"30% off for BOC Credit Cards & 15% off for Debit Cards
Every Friday ( 06th - 27th December 2024 )
@ Cheers Pub Restaurant
Max. Bill Value : Rs.20,000/-
*Conditions apply.",27 Dec 2024,30% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6840/media-240924115053.jpg,https://www.boc.lk/personal-banking/card-offers/dining/cheers-pub-cinnamon-grand-colombo/product,
5,1,30% OFF at The Lagoon - Cinnamon Grand Colombo,The Lagoon - Cinnamon Grand Colombo,"30% off for BOC Credit Cards & 15% off for Debit Cards
Every Friday ( 06th - 27th December 2024 )
@ The Lagoon Restaurant
Max. Bill Value : Rs20,000/-
*Conditions apply.",27 Dec 2024,30% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6838/media-240924114525.jpg,https://www.boc.lk/personal-banking/card-offers/dining/the-lagoon-cinnamon-grand-colombo/product,
5,1,30% OFF at Plates - Cinnamon Grand Colombo,Plates - Cinnamon Grand Colombo,"30% off for BOC Credit Cards & 15% off for Debit Cards
Every Friday ( 06th - 27th December 2024 )
@ Plates Restaurant
Max. Bill Value : Rs.20,000/-
*Conditions apply.",27 Dec 2024,30% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6658/media-240803103621.jpg,https://www.boc.lk/personal-banking/card-offers/dining/plates-cinnamon-grand-colombo/product,
5,1,15% OFF at The Blue Water Hotel & Spa,The Blue Water Hotel & Spa,"15% off on Dragon Boat Restaurant, Admirals Room Restaurant & Seven Seas Coffee Shop at The Blue Water Hotel for BOC Credit Cardholders
From 16th December 2024 to 15th January 2025
Offer is valid only for Dining
*Conditions apply.",15 Jan 2025,15% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6648/media-240802042105.jpg,https://www.boc.lk/personal-banking/card-offers/dining/the-blue-water-hotel-spa/product,Reservations : 076 889 3696 / 076 889 3693
5,2,25% OFF at The Blue Wave Hotel,The Blue Wave Hotel,"25% off for BOC Credit Cardholders
From 01st November to 31st December 2024
*Conditions apply.",31 Dec 2024,25% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6869/media-240927033032.jpg,https://www.boc.lk/personal-banking/card-offers/travel-and-leisure/the-blue-wave-hotel/product,Reservations : 076 692 9929 / 071 239 7588 / sales@ttshospitality.lk
5,2,10% OFF at Kandyan View Holiday Bungalow,Kandyan View Holiday Bungalow,"10% off for BOC Credit & 5% off for Debit Cardholders
From 01st September to 31st December 2024
*Conditions apply.",31 Dec 2024,10% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6865/media-240927024739.jpg,https://www.boc.lk/personal-banking/card-offers/travel-and-leisure/kandyan-view-holiday-bungalow/product,Reservations : 076 035 0750
5,2,20% OFF at Elephant Park Hotel,Elephant Park Hotel,"20% off for BOC Credit & 10% off for Debit Cardholders
From 01st September to 31st December 2024
*Conditions apply.",31 Dec 2024,20% OFF,https://s3.ap-southeast-1.amazonaws.com/static.boc.lk/6863/media-240927024353.jpg,https://www.boc.lk/personal-banking/card-offers/travel-and-leisure/elephant-park-hotel/product,Reservations : 076 035 0750
